2015,,2014,,2013,,2012,,2011,,2010,,2009,,2008,,2007,,2006,
Providence,11.19461385,Boise St.,10.39520325,Harvard,11.1016342,Arkansas,10.23230082,San Diego St.,9.725781276,Tennessee,11.56491964,Alabama,11.63711816,South Carolina,10.62564773,Saint Joseph's,10.8945286,Nevada,12.00721932
San Diego St.,11.13656252,Arizona St.,10.37341152,Dayton,11.03508836,Illinois St.,10.19904577,Virginia Tech,9.616248891,Nebraska,11.12307642,VCU,11.53696693,Mississippi St.,10.49103755,Washington,10.88608555,Michigan,12.00400159
Oregon St.,11.01960109,St. Mary's (CA),9.644735397,Illinois,10.71073884,Alabama,10.19178325,Northwestern,9.553832351,Miami (FL),11.02150918,Cincinnati,11.47735161,Penn St.,10.47777043,Maryland,10.78931011,Stanford,11.88761982
Valparaiso,10.98563438,Rhode Island,9.620023959,Nebraska,10.58033983,Temple,10.02683954,Oregon St.,9.531026542,Duquesne,10.95582373,Richmond,11.29231968,Northwestern,10.42638192,Georgia Tech,10.63413439,Kansas St.,11.73886091
Tulsa,10.9174158,Kansas St.,9.441185427,Marquette,10.52444251,Dayton,9.90950862,VCU,9.476462151,Georgia,10.92239563,Michigan,11.19470707,Nebraska,10.2564121,Kentucky,10.57559213,Providence,11.37935957
George Washington,10.89673738,Colorado St.,9.377849379,Missouri,10.48094291,Denver,9.884877772,Murray St.,9.412625631,Baylor,10.57553113,Iowa St.,10.98551671,Temple,10.18119022,Western Ky.,10.34559706,Washington,11.35733978
Ohio St.,10.83553831,Pittsburgh,9.294486358,LSU,10.38891658,Providence,9.775549315,Middle Tenn.,9.369563118,Boston College,10.34772333,UAB,10.94652829,UNLV,10.13563111,Duquesne,10.11826271,Ole Miss,11.2557325
Georgetown,10.81322149,Michigan,9.277666769,St. Mary's (CA),9.71506648,Purdue,9.57696772,New Mexico St.,9.333912715,California,10.01774347,Boston College,10.67513426,Virginia Tech,10.0479434,Southern Ill.,9.864013565,Oklahoma St.,11.01720598
North Carolina St.,10.63833832,Seton Hall,9.135004653,Saint Joseph's,9.557198605,Tennessee,9.407137078,La Salle,9.245359403,Oakland,9.797117661,St. John's (NY),10.57578527,Tulsa,10.01371386,Illinois St.,9.763942296,Wichita St.,10.87165213
Stanford,10.5380695,George Washington,9.047347738,North Carolina St.,9.521106227,Southern Miss.,9.404999828,Dayton,9.16242073,Indiana,9.635121364,Rhode Island,10.39193569,Creighton,10.00348686,Houston,9.722856156,Massachusetts,10.76246872
LSU,10.52349356,Richmond,8.966788272,Boise St.,9.415965621,Arizona St.,9.363079698,Iona,9.029012506,Old Dominion,9.590434735,North Carolina St.,10.28492239,North Carolina St.,9.877726188,Rhode Island,9.673966081,Texas Tech,10.55379807
Northwestern,10.38172686,Old Dominion,8.624065526,Purdue,9.228018207,UNI,9.175930889,Saint Joseph's,8.935609913,Iowa St.,9.442789837,Virginia,10.18674678,Houston,9.87133319,Texas Tech,9.666208203,Iowa,10.43995241
Georgia,9.738436266,Stephen F. Austin,8.495524664,Texas Tech,9.185686681,Akron,8.568637807,St. Bonaventure,8.930258582,UTEP,9.167284856,Murray St.,10.07344669,Cincinnati,9.725162925,UAB,9.604455348,VCU,10.35774482
Nebraska,9.631803193,Buffalo,8.385892831,UNLV,8.991603976,Washington,8.449818566,Colorado,8.597237876,Ole Miss,9.165636635,Southern California,10.0702063,Vanderbilt,9.566355972,Providence,9.55124584,Winthrop,10.23754476
Virginia Tech,9.395594222,Clemson,8.285777721,Alabama,8.776302308,Xavier,8.261949841,Villanova,8.573918949,VCU,9.09644151,Texas Tech,10.06264722,Illinois St.,9.536027288,Temple,9.456679697,California,10.08369202
Oklahoma St.,9.271354472,UConn,8.265284215,Notre Dame,8.699390178,Saint Joseph's,7.859873855,Harvard,8.530832694,Oklahoma St.,9.088258855,South Fla.,10.05732379,Providence,9.325084507,Wake Forest,9.434272688,Davidson,9.934493023
Arizona St.,9.197641257,Colorado,8.147710424,Georgia,8.336793509,Davidson,7.792726098,Southern Miss.,8.466252209,UAB,8.8895287,Tulsa,9.945020232,Davidson,9.217418378,Alabama,9.406897923,North Carolina St.,9.834308422
Marquette,9.035611694,Temple,7.946602429,Ole Miss,8.251772748,Valparaiso,7.653976442,Massachusetts,8.171673071,Southern Miss.,8.688348014,Northwestern,9.686874804,Siena,9.201500664,Utah,9.287873495,Old Dominion,8.969087101
Memphis,8.915533993,Penn St.,7.732957823,Penn St.,8.141655543,Bucknell,7.520405685,Drexel,8.055094363,Missouri St.,8.667775784,Siena,9.628800311,Rhode Island,9.009957863,Creighton,9.278234578,UNI,8.866051904
Mississippi St.,8.703046375,Georgia Tech,7.684227472,Miami (FL),8.108897153,Ohio,7.411219295,Clemson,7.990634616,Iowa,8.59024238,South Carolina,9.611330058,Seton Hall,8.910981789,Dayton,9.277499718,South Dakota,8.550395737
Rhode Island,8.687060982,Illinois St.,7.67198062,Seton Hall,7.987771844,Richmond,7.402847963,South Dakota St.,7.978359807,Rutgers,8.478725545,Wichita St.,9.469130241,VCU,8.890974447,Kent St.,8.75892137,San Diego St.,8.456031101
Alabama,8.494619566,Memphis,7.605491302,Green Bay,7.620790751,Texas,7.318178477,Oklahoma,7.966331761,Cleveland St.,8.191622775,Cornell,9.353838247,North Dakota St.,8.690599939,South Carolina,8.616564745,Hawaii,8.42254279
