2015,,2014,,2013,,2012,,2011,,2010,,2009,,2008,,2007,,2006,
NJIT,-4.978287098,Denver,-4.274041914,Fla. Atlantic,-4.59599181,Morgan St.,-4.831875689,FIU,-4.384605421,Hampton,-4.624064305,East Carolina,-4.588241697,Navy,-4.321810762,Southern Utah,-5.152839067,Liberty,-5.158982136
Air Force,-4.986680501,Charleston So.,-4.369116537,North Texas,-4.596468478,Savannah St.,-4.834517992,Central Conn. St.,-4.672675571,Columbia,-4.638901713,UC Riverside,-4.875914026,Ball St.,-4.386856717,Montana St.,-5.211790292,Columbia,-5.162382152
Sam Houston St.,-4.990085908,Milwaukee,-4.395132808,Cal St. Fullerton,-4.667504329,Morehead St.,-4.885833917,Rider,-4.72094115,CSUN,-4.742385473,South Dakota St.,-4.892868913,Northern Ariz.,-4.411864878,Iona,-5.369894736,Cleveland St.,-5.28052503
UNCG,-5.040223258,Idaho,-4.46913754,Coastal Caro.,-4.74380048,Coastal Caro.,-5.113350797,UNCW,-4.813515224,Winthrop,-4.826046732,Santa Clara,-4.986325489,San Francisco,-4.449455316,Boston U.,-5.386362108,CSUN,-5.514538912
IUPUI,-5.045050952,South Dakota,-4.534795219,South Ala.,-4.750038987,Portland,-5.155298474,Siena,-5.033322205,St. Francis Brooklyn,-4.861410512,CSUN,-5.033338901,Lamar,-4.471990993,Yale,-5.447966209,Delaware St.,-5.558481354
Dartmouth,-5.0780592,East Tenn. St.,-4.577873622,A&M-Corpus Christi,-4.761172975,Mississippi St.,-5.217506694,Bradley,-5.129969793,UC Davis,-5.013599246,Radford,-5.086259399,Montana St.,-4.542779663,Binghamton,-5.501088765,Omaha,-5.61627093
Drexel,-5.111107241,Boston U.,-4.584027849,Charleston So.,-4.776695352,Norfolk St.,-5.2222644,James Madison,-5.177121823,Liberty,-5.063058623,Youngstown St.,-5.151826504,IPFW,-4.650089085,Northern Colo.,-5.505953224,UMKC,-5.766621624
Idaho,-5.120238284,Missouri St.,-4.761425056,La.-Monroe,-4.833590484,Southeast Mo. St.,-5.281257723,High Point,-5.24054598,Tennessee Tech,-5.145133349,Maine,-5.399730419,William & Mary,-4.747772831,Towson,-5.638742379,San Jose St.,-5.849547337
Drake,-5.20619053,Saint Louis,-4.939687709,Eastern Wash.,-4.891310311,Mt. St. Mary's,-5.319823398,St. Francis Brooklyn,-5.336180649,Bowling Green,-5.325637697,Hampton,-5.447215901,Alabama St.,-4.876258134,Colorado St.,-5.660087835,Arkansas St.,-6.072185594
Penn,-5.266857414,UALR,-5.038292946,FIU,-4.894784028,Hartford,-5.343821038,Holy Cross,-5.337396351,UTSA,-5.35490353,Texas St.,-5.609642916,Loyola Maryland,-4.923298257,Utah Valley,-5.66746222,Coastal Caro.,-6.119188524
Texas St.,-5.363744949,Southeast Mo. St.,-5.045536566,Dartmouth,-4.917867965,St. Francis Brooklyn,-5.380921908,Furman,-5.355915971,Nicholls St.,-5.366761734,IPFW,-5.689761026,Mercer,-4.946439157,Bucknell,-5.799135199,Lamar,-6.179481323
San Jose St.,-5.428986569,Gardner-Webb,-5.110065371,UALR,-4.978592775,North Florida,-5.435290556,Campbell,-5.375609005,Louisiana Tech,-5.440940088,Samford,-5.970482468,Georgia St.,-4.951856876,Jacksonville,-5.8050887,Richmond,-6.260530721
Samford,-5.42934142,Nevada,-5.135281871,Seattle,-5.03131346,Fla. Atlantic,-5.476882598,UC Irvine,-5.377526873,La.-Lafayette,-5.494758941,Furman,-6.00571858,Chicago St.,-4.958040982,Wagner,-5.814672855,Brown,-6.312491685
Miami (OH),-5.507908753,Drexel,-5.160148544,VMI,-5.068844184,Holy Cross,-5.577374646,N.C. Central,-5.439277067,Ill.-Chicago,-5.684076467,Northern Ill.,-6.085875999,South Dakota,-5.192885846,Manhattan,-5.938809306,Lehigh,-6.660709351
Western Ill.,-5.625344622,Texas St.,-5.367428384,Morgan St.,-5.346383057,Central Mich.,-5.657882142,Southeast Mo. St.,-5.459574521,North Florida,-5.701012852,South Ala.,-6.189830844,Western Mich.,-5.2371701,Eastern Wash.,-5.950511245,Binghamton,-6.824872207
UT Martin,-5.728127962,UCF,-5.386937323,Saint Peter's,-5.405139359,Texas St.,-5.677943414,Northern Colo.,-5.5434916,Youngstown St.,-5.76353257,UC Davis,-6.348850606,McNeese St.,-5.310348836,Drexel,-5.955783438,Georgia St.,-6.91997307
La Salle,-5.8601147,Elon,-5.391325833,Southeast Mo. St.,-5.468095028,Eastern Mich.,-5.772381391,McNeese St.,-5.586982539,Holy Cross,-5.796920738,Ill.-Chicago,-6.404008306,Chattanooga,-5.338855761,San Francisco,-6.04013452,Troy,-6.966175919
Army West Point,-5.918833989,Saint Francis (PA),-5.444183582,Army,-5.69312429,UTSA,-5.791601953,Southern Utah,-5.587266907,Wagner,-5.949227899,Delaware,-6.596843584,Albany (NY),-5.38296746,Troy,-6.082809719,Canisius,-7.121125017
Norfolk St.,-5.981433572,Western Caro.,-5.569949145,Troy,-5.754033161,Brown,-5.807150948,Northwestern St.,-5.610412639,Elon,-5.984580531,Northern Ariz.,-6.618907998,Canisius,-5.393413152,Tennessee St.,-6.156763052,Princeton,-7.209486679
Bowling Green,-6.19241108,Eastern Ill.,-5.570734814,Idaho,-5.771567853,Bakersfield,-5.813923698,Utah Valley,-5.849489771,Campbell,-6.142006279,UC Irvine,-6.764903638,Tennessee Tech,-5.475340095,Georgia St.,-6.259315993,Navy,-7.27045862
Austin Peay,-6.192434091,Mt. St. Mary's,-5.702781355,Mt. St. Mary's,-5.843427319,Marist,-5.86711149,Western Caro.,-5.891817454,Stony Brook,-6.261913363,Texas-Arlington,-6.79936299,Eastern Wash.,-5.58487379,Alabama St.,-6.322148792,Southeastern La.,-7.310796035
Gardner-Webb,-6.22422082,Holy Cross,-5.755863509,Idaho St.,-5.956603031,Sam Houston St.,-5.891288552,Niagara,-5.997826939,Lamar,-6.304300419,Winthrop,-6.809728901,Central Mich.,-5.858389972,UMKC,-6.528710176,Portland,-7.373954056
CSUN,-6.233783369,Marshall,-5.801049837,Winthrop,-5.98607158,North Texas,-5.89770451,Ga. Southern,-6.019244604,Montana St.,-6.401355223,Lafayette,-6.834203176,LIU Brooklyn,-6.09677471,SMU,-6.564041588,Manhattan,-7.448266008
Cal St. Fullerton,-6.234804852,Drake,-5.802169382,East Tenn. St.,-5.99391014,Western Caro.,-5.938012077,Presbyterian,-6.076077522,Albany (NY),-6.466732066,Holy Cross,-6.848839526,Marist,-6.097222154,Pepperdine,-6.636417288,VMI,-7.451605892
Montana St.,-6.768460751,Wright St.,-5.913909162,Lehigh,-6.034808907,Miami (OH),-6.165737192,Central Mich.,-6.085484038,Southern Utah,-6.471081682,UNC Greensboro,-6.849948041,Wofford,-6.131512802,Western Caro.,-6.762504431,Mt. St. Mary's,-7.64565326
UMKC,-6.780976528,UMES,-5.952141474,Hofstra,-6.126730334,Ball St.,-6.214100979,Santa Clara,-6.099388743,Lafayette,-6.671612932,South Dakota,-6.877777449,Cal Poly,-6.173369787,Quinnipiac,-6.872561531,UALR,-7.692914742
Arkansas St.,-6.851215887,Bryant,-5.971260788,Northern Ariz.,-6.222199309,Wofford,-6.230006022,Sacred Heart,-6.182953109,Tennessee St.,-6.677102749,Ark.-Pine Bluff,-6.957234503,La.-Lafayette,-6.216585321,San Jose St.,-6.900592715,Army,-7.707768282
Manhattan,-6.860516638,Seattle,-5.985213731,Western Caro.,-6.28701989,Fordham,-6.356690983,Bakersfield,-6.236317374,Brown,-6.681832319,Towson,-7.196806283,Western Caro.,-6.226822299,FIU,-7.053696572,Hartford,-7.719763657
Southern U.,-7.101078594,Army,-6.005378326,Penn,-6.28792702,N.C. A&T,-6.382095412,Appalachian St.,-6.248800451,Eastern Ky.,-6.833563487,Cal Poly,-7.200522934,Harvard,-6.304357679,Lehigh,-7.070354105,UNC Asheville,-7.796965222
Boston U.,-7.177450797,Bakersfield,-6.245241277,UNC Asheville,-6.359728897,Penn,-6.412625313,Chattanooga,-6.300911326,Cal St. Fullerton,-7.060978178,North Dakota St.,-7.242415759,Yale,-6.316966868,Portland,-7.176240181,Monmouth,-7.83394791
South Ala.,-7.238006411,Northern Colo.,-6.278766367,North Dakota,-6.401458528,IPFW,-6.478496277,Lafayette,-6.519375439,Texas-Arlington,-7.12859967,Pepperdine,-7.251851454,Towson,-6.326323236,Western Ill.,-7.210905836,Wofford,-7.840917314
San Diego,-7.612732122,CSUN,-6.30018536,Hartford,-6.407009365,Cornell,-6.746149143,Jacksonville,-6.614381311,Portland St.,-7.14729075,Bucknell,-7.253069911,Penn,-6.469233169,South Dakota,-7.337483033,Western Caro.,-7.84467095
Troy,-7.645607821,Texas Southern,-6.355903592,Monmouth,-6.474157641,Stetson,-6.746771935,Pepperdine,-6.704357192,Utah Valley,-7.164340367,Chattanooga,-7.295104539,Princeton,-6.557751508,South Dakota St.,-7.440793804,La.-Monroe,-7.910743442
Rice,-7.680814088,Tennessee Tech,-6.446129705,South Dakota,-6.640630811,Cleveland St.,-6.860528761,Elon,-6.728671246,Presbyterian,-7.172506699,Jacksonville St.,-7.421092589,FIU,-6.630382966,Hartford,-7.505571402,Rider,-7.922419479
Brown,-7.724527559,Towson,-6.485903025,Ill.-Chicago,-6.777641321,South Dakota,-6.974179396,Stetson,-6.800437799,Texas St.,-7.191719032,Delaware St.,-7.808075244,Detroit,-6.785195152,McNeese St.,-7.508275225,Bakersfield,-8.023516688
Rutgers,-7.748348187,Siena,-6.578807011,North Florida,-6.824533753,Old Dominion,-7.071063072,Troy,-6.803450865,Central Mich.,-7.392062757,South Carolina St.,-7.939227978,Campbell,-6.889609482,Arkansas St.,-7.536750022,Quinnipiac,-8.083708454
Appalachian St.,-7.782554694,Col. of Charleston,-6.587430939,Gardner-Webb,-6.902131205,Northern Colo.,-7.082043632,Fordham,-6.945350489,Morgan St.,-7.407749303,La.-Monroe,-8.086813295,Jacksonville St.,-6.934013545,UT Martin,-7.567771322,Jacksonville,-8.129645431
Idaho St.,-7.976305054,Sacred Heart,-6.692119211,Fairfield,-6.906581472,Appalachian St.,-7.407980221,Winthrop,-6.95577053,Northern Ill.,-7.433926998,Army,-8.274278427,Lehigh,-6.991155482,A&M-Corpus Christi,-7.580593234,UMBC,-8.375759581
Portland St.,-8.151000964,A&M-Corpus Christi,-6.745205176,Western Ill.,-7.077467485,NJIT,-7.480792521,Portland,-7.206764096,Towson,-7.482424057,Tennessee Tech,-8.303968653,Gardner-Webb,-7.165906652,Columbia,-7.60568374,IPFW,-8.449686563
Kennesaw St.,-8.1570283,Weber St.,-6.912759395,Portland St.,-7.169500954,Central Conn. St.,-7.720417816,San Jose St.,-7.209146403,UC Riverside,-7.661753431,Tennessee St.,-8.354336462,Presbyterian,-7.271705116,La.-Monroe,-7.641962783,Fairleigh Dickinson,-8.531906694
Jackson St.,-8.176694271,UMKC,-6.986677503,Tulane,-7.180478779,New Hampshire,-7.726935762,Eastern Mich.,-7.248467204,UMKC,-7.785369776,New Hampshire,-8.360390174,Samford,-7.414878649,Nicholls St.,-7.885409258,Harvard,-8.5460516
Eastern Ill.,-8.180711475,Brown,-7.007342316,Lafayette,-7.210239797,San Jose St.,-7.948185439,Gardner-Webb,-7.30595757,Eastern Wash.,-7.896728867,UALR,-8.417134085,Stetson,-7.440533554,Tennessee Tech,-7.938480845,Morehead St.,-8.557634865
Colgate,-8.347876979,Omaha,-7.024038031,James Madison,-7.214939758,North Dakota,-7.989495924,UC Riverside,-7.330326405,San Diego,-8.000140833,Yale,-8.841743641,Saint Peter's,-7.464550498,VMI,-7.988011477,Hampton,-8.612080193
Houston Baptist,-8.413658531,UNC Asheville,-7.066221882,UC Riverside,-7.266218195,American,-8.005604362,Mississippi Val.,-7.34644658,Coppin St.,-8.110202608,Elon,-9.135677603,UMBC,-7.569822505,Northern Ill.,-8.007047995,Tex.-Pan American,-8.755077734
New Hampshire,-8.461042063,Portland St.,-7.074812888,Norfolk St.,-7.351910922,Winthrop,-8.101795761,Pacific,-7.353066824,Fordham,-8.189364852,Kennesaw St.,-9.315817238,Appalachian St.,-7.575468622,Cal Poly,-8.024068445,Florida A&M,-8.888191996
Cornell,-8.46122579,SIUE,-7.193520804,Radford,-7.424329986,Colgate,-8.177374697,Delaware St.,-7.389434961,Savannah St.,-8.39700863,North Florida,-9.327030698,Eastern Ill.,-8.05370688,Texas St.,-8.065913674,Kennesaw St.,-8.9287314
Delaware,-8.513125286,Youngstown St.,-7.238118805,San Jose St.,-7.490099545,Troy,-8.329691575,Marist,-7.516867718,Eastern Mich.,-8.490078542,Lamar,-9.459044429,Jackson St.,-8.055311362,Tex.-Pan American,-8.133373977,James Madison,-9.187756071
Sacramento St.,-8.611460539,Penn,-7.28058818,Texas St.,-7.569627313,Eastern Ill.,-8.468256356,Loyola Chicago,-7.663620332,Southeastern La.,-8.507553386,Idaho St.,-9.476500195,Columbia,-8.070449719,Omaha,-8.194625891,Colgate,-9.211833283
Lipscomb,-8.614307541,Delaware,-7.322384565,Sacramento St.,-7.57158556,Saint Peter's,-8.571629195,Morgan St.,-7.723589608,Mt. St. Mary's,-8.628013352,Nicholls St.,-9.602410096,New Hampshire,-8.220315248,Army,-8.514272664,Campbell,-9.258612703
Liberty,-8.892161014,Ill.-Chicago,-7.36484111,Niagara,-7.708985007,Liberty,-8.628118704,Eastern Ky.,-7.800346728,Seattle,-8.656136776,Colgate,-9.772102173,Bakersfield,-8.288184681,New Hampshire,-8.604021618,East Carolina,-9.303607708
Jacksonville,-9.039233251,Navy,-7.392548511,High Point,-7.761694837,Dartmouth,-8.686042488,Maine,-7.889546946,Gardner-Webb,-8.665537264,Binghamton,-9.778529502,Coppin St.,-8.322948043,Saint Peter's,-8.710746254,Maine,-9.343158993
Seattle,-9.052290235,Fla. Atlantic,-7.513308731,Tennessee Tech,-7.768736475,Hampton,-8.785355139,Texas St.,-7.98883408,Northwestern St.,-8.761289269,Texas Southern,-9.797926412,Fla. Atlantic,-8.372166205,UTSA,-8.760020151,Stony Brook,-9.425939605
Cleveland St.,-9.27609095,FIU,-7.635522305,Lipscomb,-7.912029852,Bethune-Cookman,-8.803185863,Samford,-7.991569635,Sacred Heart,-8.808785409,Brown,-9.957748294,Northern Ill.,-8.879123188,Eastern Ky.,-8.847286315,Fla. Atlantic,-9.512705565
Hampton,-9.336330747,UNC Greensboro,-7.668964992,Texas Southern,-7.924106703,Sacramento St.,-8.808314052,North Dakota,-8.074917085,FIU,-8.86738716,Sacred Heart,-9.962475272,Quinnipiac,-8.942332481,Rice,-8.968043972,Elon,-9.700475142
South Carolina St.,-9.412592251,Cal St. Fullerton,-8.027367509,UMKC,-8.225829439,UNC Greensboro,-8.899834388,IPFW,-8.370689139,Chattanooga,-8.906984507,USC Upstate,-10.00194868,South Carolina St.,-9.096416985,Northwestern St.,-9.043054628,McNeese St.,-9.701312316
Mt. St. Mary's,-9.447886341,Hartford,-8.078739437,UNCW,-8.328402545,Maine,-9.063468841,Ill.-Chicago,-8.387199286,Troy,-9.01704259,McNeese St.,-10.00836097,Wagner,-9.258164503,Chicago St.,-9.114390342,La.-Lafayette,-9.732777028
Utah Valley,-9.555720198,IUPUI,-8.120616378,Central Mich.,-8.361238228,Ga. Southern,-9.097736614,Coppin St.,-8.389671228,Monmouth,-9.07473967,LIU Brooklyn,-10.18599272,Toledo,-9.281918414,Mercer,-9.579038442,Montana St.,-9.873727683
North Texas,-9.622116462,Fairfield,-8.293935484,Rice,-8.885620734,Tennessee Tech,-9.232700502,UMKC,-8.410623739,South Dakota,-9.113385932,American,-10.30821481,Central Conn. St.,-9.357431204,Stetson,-9.659970573,Tennessee St.,-10.19410929
Jacksonville St.,-9.738551569,Alabama St.,-8.383982045,Savannah St.,-9.15248029,Sacred Heart,-9.238459036,Sam Houston St.,-8.414065448,Citadel,-9.28209785,Eastern Wash.,-10.44677777,UMKC,-9.384221256,Harvard,-9.703076033,Texas-Arlington,-10.22773192
Quinnipiac,-9.877839591,Troy,-8.656192778,Tennessee St.,-9.549063116,Nicholls St.,-9.556715416,Bethune-Cookman,-8.426656372,South Ala.,-9.37971812,Western Ill.,-10.47085756,Tennessee St.,-9.532908904,Coastal Caro.,-9.774454012,Delaware,-10.2500109
Southern Miss.,-9.965910025,LIU Brooklyn,-8.672264532,Ball St.,-9.754104807,Samford,-9.55988153,Utah,-8.621526257,UNC Greensboro,-9.408451723,Norfolk St.,-10.59791136,Hampton,-9.548633998,Central Ark.,-9.781122363,N.C. A&T,-10.33707743
Fla. Atlantic,-9.977578811,Niagara,-8.795098575,Liberty,-9.79773526,UNCW,-9.580160496,VMI,-8.746133178,Hartford,-9.453380819,Monmouth,-10.59841487,Army,-9.722379324,Idaho,-9.908046726,St. Francis Brooklyn,-10.38334887
Bradley,-10.22742599,Samford,-9.109016768,Chicago St.,-9.880042228,Campbell,-9.729847653,Sacramento St.,-8.972051677,New Hampshire,-9.491369355,N.C. A&T,-10.61941675,Winthrop,-9.756232202,UC Riverside,-10.16357095,Radford,-10.49531579
Charleston So.,-10.26637936,South Ala.,-9.171596234,Loyola Maryland,-10.06962648,Milwaukee,-9.843418098,UNC Greensboro,-8.988940986,Texas Southern,-9.600946294,Bakersfield,-10.6905226,UNC Asheville,-9.917074207,Delaware St.,-10.21290418,Central Ark.,-10.52825839
Campbell,-10.48862445,McNeese St.,-9.175676828,Chattanooga,-10.14933862,Chattanooga,-9.943361665,Liberty,-8.989799419,FGCU,-9.688612203,Columbia,-10.72472582,Pepperdine,-9.955440047,Morehead St.,-10.36233921,USC Upstate,-10.76245524
SIUE,-10.54558071,Howard,-9.300759671,Tex.-Pan American,-10.15438951,Siena,-9.957957234,South Dakota,-9.19980284,Jackson St.,-9.906731199,Albany (NY),-10.7353241,Maine,-9.965883283,Princeton,-10.36596345,Jacksonville St.,-10.8609408
Loyola Maryland,-10.62216699,VMI,-9.460772205,Austin Peay,-10.23492308,Jacksonville,-10.01398599,Dartmouth,-9.399428426,Navy,-10.07893952,Navy,-10.82489844,Coastal Caro.,-10.38887177,Idaho St.,-10.45358263,Idaho,-10.90522271
Stetson,-10.62675986,Southern U.,-9.499830139,Montana St.,-10.25378675,Southeastern La.,-10.08220886,Hampton,-9.400373993,Idaho St.,-10.10824672,Ga. Southern,-11.27944678,Eastern Mich.,-10.51126665,Penn,-10.56107456,Southeast Mo. St.,-10.98801179
Youngstown St.,-10.68342626,Southern Miss.,-9.721926274,SIUE,-10.27355715,Eastern Wash.,-10.20174861,New Hampshire,-9.405423237,Army,-10.12931802,Sacramento St.,-11.32898827,Bucknell,-10.5368397,USC Upstate,-10.7242837,St. Bonaventure,-11.03937112
Fairleigh Dickinson,-10.68721624,Appalachian St.,-9.791552867,UTSA,-10.52895401,Hofstra,-10.25051757,Texas Southern,-9.562013076,Stetson,-10.19476254,FIU,-11.4283836,USC Upstate,-10.70354265,Campbell,-10.75149339,Nicholls St.,-11.10827917
Niagara,-10.78194872,Delaware St.,-10.05714958,Coppin St.,-10.58933183,Portland St.,-10.2838757,Montana St.,-9.582984097,Bethune-Cookman,-10.53232445,Bethune-Cookman,-11.54396235,Western Ill.,-10.78809999,Samford,-11.15643029,Mississippi Val.,-11.11074722
Longwood,-10.81136014,Marist,-10.11442586,Fairleigh Dickinson,-10.84902284,Montana St.,-10.32532012,William & Mary,-10.10974329,Jacksonville St.,-10.67774747,UMKC,-11.66101387,FGCU,-10.80355076,Stony Brook,-11.28873018,New Hampshire,-11.12022055
St. Francis Brooklyn,-10.90331037,Loyola Maryland,-10.20880257,Ga. Southern,-10.96455842,Central Ark.,-10.34763981,Idaho St.,-10.3562876,Eastern Ill.,-10.77430471,Liberty,-11.6791833,Brown,-10.8496653,Presbyterian,-11.35519829,Jackson St.,-11.1914791
Marist,-11.13530992,Prairie View,-10.23197027,UC Davis,-11.16278764,Radford,-10.3539189,Army,-10.57898454,Bakersfield,-10.78277758,Northwestern St.,-11.76397648,Elon,-11.06194033,Furman,-11.39200074,Morgan St.,-11.21970215
LIU Brooklyn,-11.84453038,Lamar,-10.44374556,Jackson St.,-11.17993969,Navy,-10.59167368,Eastern Ill.,-10.81484814,Samford,-10.85082649,FGCU,-11.79378251,La.-Monroe,-11.08387514,St. Francis Brooklyn,-11.40377957,Wagner,-11.29058188
Alabama St.,-11.85996792,Arkansas St.,-10.46699724,Eastern Ill.,-11.21829883,Delaware St.,-10.64064658,Mt. St. Mary's,-11.0385987,Saint Francis (PA),-10.91138615,Jackson St.,-11.85777031,St. Francis Brooklyn,-11.14934492,Long Beach St.,-11.95112351,FIU,-11.32237854
N.C. Central,-11.87813156,Hampton,-10.54861663,Navy,-11.25043449,SIUE,-10.70564127,Monmouth,-11.24630414,Manhattan,-11.08457022,Central Ark.,-11.85817851,Prairie View,-11.18544549,Monmouth,-12.04407209,Eastern Ill.,-11.37326274
Holy Cross,-12.01221907,Furman,-10.58373117,Jacksonville St.,-11.64809736,Utah Valley,-10.82307976,Southeastern La.,-11.26371136,North Dakota,-11.1444485,Fordham,-11.9756444,Bethune-Cookman,-11.33176058,Fairleigh Dickinson,-12.09092542,Gardner-Webb,-11.38001454
Northern Colo.,-12.02775579,Southeastern La.,-10.59276126,UNC Greensboro,-11.82373983,VMI,-10.89190108,NJIT,-11.39126376,Niagara,-11.30845395,Penn,-12.1982035,N.C. A&T,-11.73849455,Saint Francis (PA),-12.34602492,South Carolina St.,-11.49203562
Saint Francis (PA),-12.31328198,Campbell,-10.80554451,Florida A&M,-11.8457101,McNeese St.,-10.91497798,A&M-Corpus Christi,-11.52938971,N.C. A&T,-11.47789475,Charleston So.,-12.22051786,Norfolk St.,-11.96786792,FGCU,-12.6308801,Sacramento St.,-11.8584911
Morgan St.,-12.33746803,Lipscomb,-11.03385756,Jacksonville,-11.98301872,UC Riverside,-11.0127333,N.C. A&T,-11.66167425,Delaware St.,-11.60261006,Savannah St.,-12.36492616,Hartford,-12.0861534,Norfolk St.,-12.65224552,Dartmouth,-11.99669853
VMI,-12.33805417,Wagner,-11.0552187,NJIT,-11.98616343,A&M-Corpus Christi,-11.17217876,Brown,-11.84093781,Norfolk St.,-11.60970855,High Point,-12.57565718,Dartmouth,-12.13378701,Radford,-12.71833537,Saint Francis (PA),-12.24724336
Presbyterian,-12.66536431,Utah Valley,-11.23655946,Delaware St.,-12.15600825,Rice,-11.20150044,La.-Monroe,-11.87653505,Southeast Mo. St.,-11.76279691,Hartford,-12.61157856,Charleston So.,-12.36771135,Bakersfield,-12.72419537,Mercer,-12.25590964
Sacred Heart,-12.73964963,Southern Utah,-11.57794543,Southeastern La.,-12.37316731,Chicago St.,-11.2737465,CSUN,-11.94518696,A&M-Corpus Christi,-11.85738701,UNC Asheville,-12.74256509,High Point,-12.40560101,Canisius,-12.92998836,Saint Peter's,-12.3646539
Alabama A&M,-12.98760594,Idaho St.,-11.756056,Alabama St.,-12.37738297,Northern Ariz.,-11.46831595,Radford,-12.45977457,USC Upstate,-11.90824587,Southeast Mo. St.,-12.77789948,Ga. Southern,-12.50136847,Southeast Mo. St.,-12.94613849,UT Martin,-12.39967837
Lamar,-13.27886907,Fairleigh Dickinson,-11.78783174,Sacred Heart,-12.52529847,Southern Utah,-11.48414104,Saint Francis (PA),-12.49603341,High Point,-12.26832313,St. Francis Brooklyn,-12.89601046,UNCW,-12.52475098,UC Davis,-13.08407059,Stetson,-12.46081033
Bethune-Cookman,-13.30366161,North Dakota,-11.81639298,Central Conn. St.,-12.6696242,Monmouth,-11.50003173,SIUE,-12.63394315,N.C. Central,-12.38714271,Central Conn. St.,-12.99208316,Longwood,-12.59368413,N.C. A&T,-13.28862548,Lafayette,-12.6341862
Robert Morris,-13.30443386,Jackson St.,-11.89898817,Saint Francis (PA),-12.74370553,Northern Ill.,-11.52019647,Saint Peter's,-12.69736608,Bryant,-12.39031112,Toledo,-13.05536581,Colgate,-12.60590108,Savannah St.,-13.46868769,LIU Brooklyn,-12.64921416
UMES,-13.53027687,Montana St.,-12.17499042,Nicholls St.,-13.03931373,Lipscomb,-11.53466637,Hartford,-12.73211897,NJIT,-12.57738383,Alabama St.,-13.12803617,Savannah St.,-12.66987914,Charleston So.,-13.52390347,Citadel,-13.19584332
USC Upstate,-13.53546866,Austin Peay,-12.42207417,UMBC,-13.12292332,Ark.-Pine Bluff,-11.6782963,Tex.-Pan American,-12.95882533,UT Martin,-12.65454807,Longwood,-13.1463529,Fordham,-12.98623228,Dartmouth,-13.53668599,UC Riverside,-13.24115023
American,-13.74300412,Jacksonville St.,-12.46782911,LIU Brooklyn,-13.22245248,Austin Peay,-11.89227599,Citadel,-13.81067833,Fairleigh Dickinson,-12.75104141,Coppin St.,-13.59950293,Loyola Marymount,-13.01550172,Kennesaw St.,-13.56911367,Northern Colo.,-13.40735972
Ill.-Chicago,-13.76243989,Citadel,-12.64239447,Alabama A&M,-13.42138762,UMBC,-11.97898196,Howard,-13.91212423,Western Ill.,-12.84623466,Prairie View,-13.82586821,Lafayette,-13.0347235,Louisiana Tech,-13.74562336,Western Ill.,-13.48542698
Southeastern La.,-13.81948442,Longwood,-12.7344678,Campbell,-13.57980192,Coppin St.,-12.10706044,Navy,-13.91943181,Alabama St.,-12.87314081,Saint Francis (PA),-14.19724322,Delaware St.,-13.28422498,Coppin St.,-13.80073786,Coppin St.,-14.01331084
Howard,-14.04133971,Houston Baptist,-12.9830535,UT Martin,-13.66078111,Idaho St.,-12.42019426,Canisius,-14.07789132,Marist,-13.11986931,Fairleigh Dickinson,-14.6287776,North Dakota,-13.65697773,Florida A&M,-13.82702124,Iona,-14.19012945
Hartford,-14.04669474,Binghamton,-13.20233253,McNeese St.,-13.75433312,Tex.-Pan American,-12.66396776,Colgate,-14.23252544,Binghamton,-13.23293283,Utah Valley,-14.81703844,Central Ark.,-13.8113113,Mississippi Val.,-13.84525831,Charleston So.,-14.25069359
Alcorn,-14.13048527,Western Ill.,-13.64136578,IUPUI,-13.93111436,East Tenn. St.,-13.06413895,Kennesaw St.,-14.34109799,Sacramento St.,-13.40724563,UMES,-15.02319058,Ark.-Pine Bluff,-14.18022112,Eastern Ill.,-13.84834403,UTSA,-14.45935846
Savannah St.,-14.14406552,Tex.-Pan American,-14.50456688,New Hampshire,-14.24350469,UMKC,-13.11203849,Florida A&M,-14.90045735,Mississippi Val.,-13.41177408,Southern Utah,-15.66840327,Tex.-Pan American,-14.24307371,Maine,-14.45248174,Savannah St.,-14.67538579
Binghamton,-14.18683967,Tennessee St.,-14.87600872,Stetson,-14.47722555,La.-Monroe,-13.48405722,UC Davis,-14.90872858,Kennesaw St.,-13.51323727,UMBC,-15.72101466,Monmouth,-14.27690558,Southern U.,-14.57213093,Presbyterian,-14.76245524
Northwestern St.,-14.34697577,Bethune-Cookman,-14.94539617,Samford,-14.50635033,Alcorn,-13.82409851,Alabama St.,-15.10291616,La.-Monroe,-13.93156336,UT Martin,-15.91956978,Saint Francis (PA),-14.82248877,Bethune-Cookman,-14.57517377,South Dakota St.,-14.84513171
Lafayette,-14.76751698,Ark.-Pine Bluff,-15.03002629,Appalachian St.,-14.84024398,Howard,-13.87823602,Northern Ill.,-15.20902625,Toledo,-14.10140783,Marist,-16.12102524,Bryant,-14.9911426,South Carolina St.,-14.58570129,Longwood,-15.12601834
UMBC,-14.78530682,UMBC,-15.24228204,Central Ark.,-14.93917562,Jackson St.,-14.3426817,Houston Baptist,-15.38135526,Dartmouth,-14.27235783,Tex.-Pan American,-16.30496524,Texas Southern,-15.19237538,Jackson St.,-14.62682523,FGCU,-15.27453128
